"";"Numer.......................................wpisu";"ImiÍ.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesiπc.wniosku";"data";"Czas.rozpatrzenia";"data_miesiac";"pora_roku";"lon";"lat"
"21763";1753;"";"";"OdkrywcÛw  30 ";"bud.o dwÛch mieszkaniach";"wewnÍtrzna instalacja gazu";"inst.wewnÍtrzna";"2015-06-25";"20769/15";"3408/15";"2015-07-07";2015;6;"2015-06-01";9;"2015_06";"Lato";16,9849639;51,088108
"21764";1754;"";"";"Pszenna  15 ";"bud.o trzech i wiÍcej mieszkaniach";"wewnÍtrzna instalacja gazu";"inst.wewnÍtrzna";"2015-06-18";"19801/15";"3409/15";"2015-07-07";2015;6;"2015-06-01";14;"2015_06";"Lato";17,0178179;51,101368
"21765";1755;"";"";"Wolska 2 ";"bud.o trzech i wiÍcej mieszkaniach";"montaø wewnÍtrznej instalacji gazu w lokalu mieszkalnym";"inst.wewnÍtrzna";"2015-06-02";"17927/15";"3410/15";"2015-07-07";2015;6;"2015-06-01";26;"2015_06";"Lato";16,8695062;51,146218
"21766";1756;"";"";"Ostrowskiego Aleksandra  ";"mosty,wiadukty i estakady";"umorzenie";"nowe";"2015-06-11";"18999/15";"3413/15";"2015-07-08";2015;6;"2015-06-01";20;"2015_06";"Lato";16,9724497;51,0953007
"21767";1757;"";"";"Szewska  24-26 ";"bud.o trzech i wiÍcej mieszkaniach";"remont dachu budynku mieszkalno-us≥ugowego";"remont";"2015-05-08";"14774/15";"3414/15";"2015-07-08";2015;5;"2015-05-01";44;"2015_05";"Wiosna";17,0352019;51,111007
"21768";1758;"";"";"Brata Alberta 7 ";"bud.mieszkalne jednorodzinne";"budynek mieszkalny, jednorodzinny wraz z przebudowπ zjazdu";"nowe";"2015-04-29";"13649/15";"3417/15";"2015-07-08";2015;4;"2015-04-01";51;"2015_04";"Wiosna";17,098488;51,103798
"21769";1759;"";"";"StroÒska  11 ";"ulice i drogi pozosta≥e";"rozbudowa ciÍgu pieszo-jezdnego i budowa zjazdu";"rozbudowa";"2015-05-07";"14408/15";"3418/15";"2015-07-08";2015;5;"2015-05-01";45;"2015_05";"Wiosna";17,0477557;51,0755962
"21770";1760;"";"";"Nasienna  48 ";"bud.mieszkalne jednorodzinne";"rozbudowa nadbudowa i przebudowa budynku mieszkalnego";"rozbudowa";"2015-05-14";"15444/15";"3419/15";"2015-07-08";2015;5;"2015-05-01";40;"2015_05";"Wiosna";16,9405885;51,1491266
"21771";1761;"";"";"DominikaÒski Plac 3 ";"bud.handlowo-uslugowe";"przebudowa dwÛch lokali gastronomicznych.";"przebudowa";"2015-05-28";"17328/15";"3420/15";"2015-07-08";2015;5;"2015-05-01";30;"2015_05";"Wiosna";17,0405239;51,1084387
"21772";1762;"";"";"Jugos≥owiaÒska 65C ";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa istniejπcego dachu na taras w budynku wielorodzinnym.";"przebudowa";"2015-05-22";"16403/15";"3422/15";"2015-07-08";2015;5;"2015-05-01";34;"2015_05";"Wiosna";17,02363;51,1363269
"21773";1763;"";"";"Kasztanowa Aleja 4A ";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa pomieszczeÒ na gabinety lekarskie";"przebudowa";"2015-04-27";"13257/15";"3423/15";"2015-07-08";2015;4;"2015-04-01";53;"2015_04";"Wiosna";17,01303;51,085218
