"";"Numer.......................................wpisu";"Imiê.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesi¹c.wniosku";"data";"Czas.rozpatrzenia";"lon";"lat"
"2513";3618;"";"";"Dmowskiego Romana  ";"bud.o trzech i wiêcej mieszkaniach";"budowa budynku wielorodzinnego";"nowe";"2015-11-12";"37351/15";"6849/15";"2015-12-31";2015;11;"2015-11-01";36;17,0215688;51,1169497
"2514";3620;"";"";"Przedwioœnie  ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego";"nowe";"2015-12-21";"41865/15";"6855/15";"2015-12-31";2015;12;"2015-12-01";9;17,1097224;51,164505
"2515";3621;"";"";"Kowieñska  ";"bud.mieszkalne jednorodzinne";"";"nowe";"2015-12-18";"41710/15";"6859/15";"2015-12-31";2015;12;"2015-12-01";10;17,1330904;51,1415978
"2516";9;"";"";"Bu³garska 3 ";"bud.o dwóch mieszkaniach";"budowa 2 budynków jednorodzinnych";"nowe";"2015-02-09";"3863/15";"16-paŸ";"2016-01-05";2015;2;"2015-02-01";237;17,0274359;51,1353159
"2517";19;"";"";"Kowale,AM-6";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2015-11-05";"36761/15";"26/16";"2016-01-05";2015;11;"2015-11-01";44;17,0385376;51,1078852
"2518";27;"";"";"Pakos³awska  ";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2015-11-04";"36455/15";"40/16";"2016-01-07";2015;11;"2015-11-01";47;17,0330982;51,1530443
"2519";33;"";"";"Zielonego Dêbu 7 ";"bud.mieszkalne jednorodzinne";"budowa budynków mieszkalnych jednorodzinnych";"nowe";"2015-08-27";"28359/15";"47/16";"2016-01-07";2015;8;"2015-08-01";96;17,083599;51,1059372
"2520";43;"";"";"Fryzjerska  ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego";"nowe";"2015-10-30";"35934/15";"69/16";"2016-01-08";2015;10;"2015-10-01";51;17,0147444;51,1804744
"2521";55;"";"";"Zegarmistrzowska  ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego wolnostoj¹cego";"nowe";"2015-10-23";"35231/15";"94/16";"2016-01-11";2015;10;"2015-10-01";57;17,0203266;51,1709778
"2522";63;"";"";"Stab³owicka 109B ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego wolno stoj¹cego z wbudowanym lokalem us³ugowym w parterze";"nowe";"2015-10-20";"34750/15";"116/16";"2016-01-12";2015;10;"2015-10-01";61;16,8986929;51,16504
"2523";85;"";"";"¯egiestowska  13 ";"bud.o trzech i wiêcej mieszkaniach";"budowa zespo³u budynków mieszkalnych";"nowe";"2015-11-09";"37106/15";"152/16";"2016-01-13";2015;11;"2015-11-01";48;17,039254;51,082062
"2524";98;"";"";"Magellana Ferdynanda  ";"bud.o trzech i wiêcej mieszkaniach";"budowa zespo³u budynków mieszkalnych wielorodzinnychz uslugami";"nowe";"2015-10-14";"34145/15";"175/16";"2016-01-14";2015;10;"2015-10-01";67;17,1216276;51,1116821
"2525";114;"";"";"Leœnica,AM-3";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego";"nowe";"2015-10-12";"33871/15";"206/16";"2016-01-15";2015;10;"2015-10-01";70;17,0385376;51,1078852
"2526";129;"";"";"So³tysowicka  32 ";"bud.o trzech i wiêcej mieszkaniach";"budowa zepo³u budynków mieszkalnych  wielorodzinnych";"nowe";"2015-11-16";"37771/15";"235/16";"2016-01-18";2015;11;"2015-11-01";46;17,072122;51,144939
"2527";133;"";"";"Jagodno,AM-4";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2015-11-23";"38618/15";"248/16";"2016-01-19";2015;11;"2015-11-01";42;17,0385376;51,1078852
"2528";158;"";"";"£ukowska  47 ";"bud.mieszkalne jednorodzinne";"budowa budynku mieszkalnego jednorodzinnego wolno stoj¹cego";"nowe";"2015-11-02";"36165/15";"296/16";"2016-01-21";2015;11;"2015-11-01";59;16,9227404;51,1659595
"2529";160;"";"";"¯wirowa 21A ";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2015-11-27";"39217/15";"298/16";"2016-01-21";2015;11;"2015-11-01";40;16,8807248;51,1392237
"2530";164;"";"";"Sarnia  ";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2015-12-02";"39649/15";"305/16";"2016-01-21";2015;12;"2015-12-01";37;17,0535038;51,0482219
"2531";171;"";"";"Jagodno,AM-4";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2015-11-23";"38617/15";"316/16";"2016-01-22";2015;11;"2015-11-01";45;17,0385376;51,1078852
"2532";191;"";"";"Œremska  ";"bud.mieszkalne jednorodzinne";"budowa budynku jednorodzinnego";"nowe";"2015-11-10";"37286/15";"355/16";"2016-01-26";2015;11;"2015-11-01";56;16,9934634;51,1417924
"2533";192;"";"";"Lidzka  ";"bud.o dwóch mieszkaniach";"budowa zespo³u zabudowy mieszkaniowej jednorodzinnej w uk³adzie szeregowym";"nowe";"2015-10-15";"34326/15";"356/16";"2016-01-26";2015;10;"2015-10-01";74;17,0385376;51,1078852
"2534";216;"";"";"Cynamonowa  ";"bud.o trzech i wiêcej mieszkaniach";"budowa zespo³u czterech budynków mieszkalnych wielorodzinnych z wbudowanymi us³ugami";"nowe";"2015-11-06";"36880/15";"404/16";"2016-01-28";2015;11;"2015-11-01";60;16,9977454;51,1759359
