"";"Numer.......................................wpisu";"Imiê.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesi¹c.wniosku";"data";"Czas.rozpatrzenia";"lon";"lat"
"20140";130;"";"";"Mazepy  ";"bud.mieszkalne jednorodzinne";"umorzenie";"nowe";"2014-11-25";"37953/14";"261/15";"2015-01-20";2014;11;"2014-11-01";41;17,1213961;51,1394526
"20141";131;"";"";"Krasiñskiego Zygmunta 1 ";"bud.handlowo-uslugowe";"przebudowa placówki banku pocztowego w budynku";"przebudowa";"2015-01-14";"981/15";"264/15";"2015-01-21";2015;1;"2015-01-01";6;17,04445;51,1083373
"20142";132;"";"";"Uniwersytecki Plac 1 ";"bud.szkó³ i instytucji badawczych";"przebudowa pomieszczeñ uniwersytetu na parterze gmachu g³ównego";"przebudowa";"2014-12-22";"41043/14";"265/15";"2015-01-21";2014;12;"2014-12-01";23;17,0338528;51,1139545
"20143";133;"";"";"Antoniego Œw.  36 ";"bud.o trzech i wiêcej mieszkaniach";"kompleksowe zagospodarowanie wnêtrza podwórzowego";"remont";"2014-12-11";"39874/14";"267/15";"2015-01-21";2014;12;"2014-12-01";30;17,0237678;51,1095296
"20144";134;"";"";"Piastowska  37 ";"bud.o trzech i wiêcej mieszkaniach";"remont konstrukcji i pokrycia dachu";"remont";"2014-12-19";"41028/14";"268/15";"2015-01-21";2014;12;"2014-12-01";24;17,061156;51,1154719
"20145";135;"";"";"Szczêœliwa  17 ";"bud.o trzech i wiêcej mieszkaniach";"wewnêtrzna instalacja gazu";"inst.wewnêtrzna";"2014-12-10";"39757/14";"269/15";"2015-01-21";2014;12;"2014-12-01";31;17,00998;51,098095
"20146";136;"";"";"Purkyniego Jana Ewangelisty  ";"linie elektroener.i telekom.rozdzielcz.";"budowa punktu poboru energii";"nowe";"2014-11-20";"37503/14";"271/15";"2015-01-21";2014;11;"2014-11-01";45;17,0440556;51,1106675
"20147";137;"";"";"Suwalska  ";"ulice i drogi pozosta³e";"budowa dwóch zjazdów z drogi";"nowe";"2014-11-14";"36951/14";"272/15";"2015-01-21";2014;11;"2014-11-01";49;16,9293442;51,1546807
"20148";138;"";"";"Sienkiewicza Henryka  21 ";"bud.szkó³ i instytucji badawczych";"remont pomieszczeñ instytutu";"remont";"2014-12-02";"38738/14";"273/15";"2015-01-21";2014;12;"2014-12-01";37;17,0464664;51,1168313
"20149";139;"";"";"Mokrzañska  14 ";"bud.mieszkalne jednorodzinne";"monta¿ wewnêtrznej instalacji gazu w budynku";"inst.wewnêtrzna";"2014-12-04";"39161/14";"274/15";"2015-01-21";2014;12;"2014-12-01";35;16,853887;51,148593
