"";"Numer.......................................wpisu";"ImiÍ.i.nazwisko.lub.nazwa.inwestora";"Data.wpisu";"Adres";"Rodzaj";"opis";"typ";"Data.wniosku";"Nr...............wniosku";"Nr...............decyzji";"Data.decyzji";"Rok.wniosku";"Miesiπc.wniosku";"data";"Czas.rozpatrzenia";"Lon";"Lat";"lon";"lat"
"3178";30;"";"2010-01-07";"Perkusyjna";"rurociπgi gazu sieci rozdzielczej";"budowy sieci gazowej úr/c wraz z przy≥πczeniami gazu ";"nowe";"2009-11-10";"39733/09";"2/10";"2010-01-07";2009;11;"2009-11-01";43;NA;NA;17,1607786;51,1029965
"3179";31;"";"2010-01-07";"Jednoúci Narodowej 104";"bud.o trzech i wiÍcej mieszkaniach";"rozbudowa wew.instal.gaz.w lokalu mieszkal.";"inst.wewnÍtrzna";"2009-12-11";"44137/09";"27/10";"2010-01-07";2009;12;"2009-12-01";20;NA;NA;17,0436619;51,1223369
"3180";32;"";"2010-01-07";"Antoniego åw. 26";"bud.o trzech i wiÍcej mieszkaniach";"remont i przebudowa elewacji,wieüby dachowej ,przebudowa ";"przebudowa";"2009-11-02";"38681/09";"28/10";"2010-01-07";2009;11;"2009-11-01";49;NA;NA;17,0247064;51,1092612
"3181";33;"";"2010-01-07";"Legnicka 40";"bud.szpitali i zak≥.opieki medycznej";"przebudowa pomieszczeÒ piwnicy i parteru w budynku ";"przebudowa";"2009-12-03";"42871/09";"29/10";"2010-01-07";2009;12;"2009-12-01";26;NA;NA;17,0031291;51,1136302
"3182";34;"";"2010-01-07";"Modra 48";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkalnego w budynku wielorodz";"przebudowa";"2009-12-14";"44271/09";"30/10";"2010-01-07";2009;12;"2009-12-01";19;NA;NA;16,968092;51,136565
"3183";35;"";"2010-01-07";"Starom≥yÒska";"bud.o trzech i wiÍcej mieszkaniach";"przy≥πcze energetyczne";"przy≥πcze";"2009-11-13";"40179/09";"31/10";"2010-01-07";2009;11;"2009-11-01";40;NA;NA;17,0404234;51,115305
"3184";36;"";"2010-01-07";"Sienkiewicza Henryka 89";"bud.o trzech i wiÍcej mieszkaniach";"wew.instalacja gazu w lokalu handlowym";"inst.wewnÍtrzna";"2009-12-10";"43754/09";"32/10";"2010-01-07";2009;12;"2009-12-01";21;NA;NA;17,0600682;51,1156971
"3185";37;"";"2010-01-07";"Wyk≥adowa 18";"bud.mieszkalne jednorodzinne";"wew.instalacja gazu";"inst.wewnÍtrzna";"2009-11-18";"40683/09";"33/10";"2010-01-07";2009;11;"2009-11-01";37;NA;NA;17,1535939;51,101076
"3186";38;"";"2010-01-07";"Zefirowa";"linie elektroener.i telekom.rozdzielcz.";"budowa linii kablow.i z≥aczy kablowych";"nowe";"2009-06-03";"19493/09";"34/10";"2010-01-07";2009;6;"2009-06-01";157;NA;NA;16,991223;51,0757185
"3187";39;"";"2010-01-08";"Tarnogajska 35";"bud.o trzech i wiÍcej mieszkaniach";"nadbudowa i przebudowa po≥aci dachu w budynku ";"przebudowa";"2009-11-24";"41613/09";"3/10";"2010-01-08";2009;11;"2009-11-01";34;NA;NA;17,0622979;51,079715
"3188";40;"";"2010-01-08";"Szklarska 20";"bud.o trzech i wiÍcej mieszkaniach";"montaz wew.instal.gaz.w lokalu mieszkal.";"inst.wewnÍtrzna";"2009-12-17";"44929/09";"35/10";"2010-01-08";2009;12;"2009-12-01";17;NA;NA;16,9576744;51,1337471
"3189";41;"";"2010-01-08";"Robotnicza 42C";"bud.handlowo-uslugowe";"przebudowa lokalu us≥ugowego";"przebudowa";"2009-10-30";"38511/09";"36/10";"2010-01-08";2009;10;"2009-10-01";51;NA;NA;17,002679;51,1111579
"3190";42;"";"2010-01-08";"Karmelkowa";"bud.garaøy";"budynku garaøowego";"nowe";"2009-12-08";"43373/09";"37/10";"2010-01-08";2009;12;"2009-12-01";24;NA;NA;16,9687997;51,0698533
"3191";43;"";"2010-01-08";"åwieøa 21A";"bud.mieszkalne jednorodzinne";"dobudowa garaøu do budynku mieszk jednorodzinnego ";"rozbudowa";"2009-12-02";"42557/09";"38/10";"2010-01-08";2009;12;"2009-12-01";28;NA;NA;16,900291;51,1572589
"3192";44;"";"2010-01-08";"åwieøa 21B";"bud.mieszkalne jednorodzinne";"dobudowa garaøu";"rozbudowa";"2009-12-02";"42558/09";"39/10";"2010-01-08";2009;12;"2009-12-01";28;NA;NA;16,900413;51,157233
"3193";45;"";"2010-01-08";"OdrzaÒska 17";"bud.handlowo-uslugowe";"przebudowa elewacji w parterze budynku";"przebudowa";"2009-11-09";"39616/09";"40/10";"2010-01-08";2009;11;"2009-11-01";45;NA;NA;17,031799;51,113015
"3194";46;"";"2010-01-08";"CzapliÒskiego W≥adys≥awa 26";"bud.mieszkalne jednorodzinne";"budynek jednorodzinny";"nowe";"2009-11-24";"41600/09";"41/10";"2010-01-08";2009;11;"2009-11-01";34;NA;NA;16,8720167;51,1625382
"3195";47;"";"2010-01-08";"Karmelkowa";"bud.garaøy";"garaø";"nowe";"2009-12-08";"43371/09";"42/10";"2010-01-08";2009;12;"2009-12-01";24;NA;NA;16,9687997;51,0698533
"3196";48;"";"2010-01-08";"Paw≥owa Iwana 3";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa wew.instal.gaz.w lokalu mieszkal.";"inst.wewnÍtrzna";"2009-12-17";"44811/09";"43/10";"2010-01-08";2009;12;"2009-12-01";17;NA;NA;17,0184874;51,1062259
"3197";49;"";"2010-01-08";"Berenta Wac≥awa 66";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa instalacji gazowa";"inst.wewnÍtrzna";"2009-12-22";"45575/09";"44/10";"2010-01-08";2009;12;"2009-12-01";14;NA;NA;17,0596158;51,1381614
"3198";50;"";"2010-01-08";"Czackiego Tadeusza 34";"bud.o dwÛch mieszkaniach";"wew.instalacja gazu";"inst.wewnÍtrzna";"2009-12-10";"43741/09";"45/10";"2010-01-08";2009;12;"2009-12-01";22;NA;NA;17,0794848;51,1229344
"3199";51;"";"2010-01-08";"Wysoka 7";"bud.o trzech i wiÍcej mieszkaniach";"wew.instalacja gzau";"inst.wewnÍtrzna";"2009-12-14";"44293/09";"46/10";"2010-01-08";2009;12;"2009-12-01";20;NA;NA;17,009683;51,1022869
"3200";52;"";"2010-01-08";"Kleczkowska 38";"bud.o trzech i wiÍcej mieszkaniach";"przebud. przedpokoju w mieszkaniu";"przebudowa";"2009-11-24";"41550/09";"47/10";"2010-01-08";2009;11;"2009-11-01";34;NA;NA;17,029397;51,126788
"3201";53;"";"2010-01-08";"Poniatowskiego JÛzefa KsiÍcia 10";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkalnego";"przebudowa";"2009-12-14";"44228/09";"48/10";"2010-01-08";2009;12;"2009-12-01";20;NA;NA;17,0423798;51,1201411
"3202";54;"";"2010-01-08";"Zakrzowska 21A";"bud.biurowe";"budowa wew.instal.gaz.w budynku biur.-magazyn";"inst.wewnÍtrzna";"2009-12-23";"45774/09";"49/10";"2010-01-08";2009;12;"2009-12-01";13;NA;NA;17,116931;51,151183
"3203";55;"";"2010-01-08";"Poprzeczna Aleja 48";"bud.o trzech i wiÍcej mieszkaniach";"montaø wewnÍtrznej instalacji gazu i co w lokalu mieszkalnym";"inst.wewnÍtrzna";"2009-11-16";"40323/09";"50/10";"2010-01-08";2009;11;"2009-11-01";40;NA;NA;17,0765415;51,1451927
"3204";56;"";"2010-01-08";"£aciarska 29";"bud.o trzech i wiÍcej mieszkaniach";"ramont dachu budynku mieszkal.wielorodzin";"remont";"2009-12-07";"43234/09";"51/10";"2010-01-08";2009;12;"2009-12-01";25;NA;NA;17,036969;51,111968
"3205";57;"";"2010-01-08";"Kleczkowska 38";"bud.o trzech i wiÍcej mieszkaniach";"przebud.przedpokoju w mieszkaniu w budynku ";"przebudowa";"2009-11-24";"41549/09";"52/10";"2010-01-08";2009;11;"2009-11-01";34;NA;NA;17,029397;51,126788
"3206";58;"";"2010-01-08";"Spacerowa 66";"bud.mieszkalne jednorodzinne";"dobudowa do istniej.     bud.mieszkal.jednorodz.";"rozbudowa";"2009-11-10";"39638/09";"53/10";"2010-01-08";2009;11;"2009-11-01";44;NA;NA;17,1547025;51,1699043
"3207";59;"";"2010-01-08";"Pomorska 57";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkal.w budynku wielorodzinnym";"przebudowa";"2009-11-17";"40571/09";"54/10";"2010-01-08";2009;11;"2009-11-01";39;NA;NA;17,0311805;51,1213571
"3208";60;"";"2010-01-08";"Jednoúci Narodowej 157A";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkalnego w budynku wielorodz";"przebudowa";"2009-12-28";"45998/09";"55/10";"2010-01-08";2009;12;"2009-12-01";10;NA;NA;17,047615;51,1257809
"3209";61;"";"2010-01-08";"Czajkowskiego Piotra 3";"bud.o trzech i wiÍcej mieszkaniach";"rozbudowa instalacji gazowej z montaøem kotla gazowego w lokalu";"inst.wewnÍtrzna";"2009-12-17";"44870/09";"56/10";"2010-01-08";2009;12;"2009-12-01";17;NA;NA;17,0695011;51,1366093
"3210";62;"";"2010-01-11";"Hutnicza 62";"bud.o trzech i wiÍcej mieszkaniach";"montaø wew.instal.gaz.i central.ogrzewania";"inst.wewnÍtrzna";"2009-12-04";"42977/09";"57/10";"2010-01-11";2009;12;"2009-12-01";27;NA;NA;16,960665;51,137726
"3211";63;"";"2010-01-11";"Wereszyckiego Henryka 32";"bud.mieszkalne jednorodzinne";"budowa jednorodzinnego budynku mieszkal.";"nowe";"2009-12-01";"42379/09";"58/10";"2010-01-11";2009;12;"2009-12-01";30;NA;NA;16,8755217;51,1597745
"3212";64;"";"2010-01-11";"SkarbowcÛw 8A";"bud.szkÛ≥ i instytucji badawczych";"rozbudowa budynku nauczycielskiego kolegium jÍzykÛw obc";"rozbudowa";"2009-11-20";"41133/09";"59/10";"2010-01-11";2009;11;"2009-11-01";37;NA;NA;16,999052;51,077523
"3213";65;"";"2010-01-11";"Wojszycka 19";"bud.mieszkalne jednorodzinne";"rozbudowa i przebudowa czÍúci garaøowej oraz ocieplenie budynku ";"rozbudowa";"2009-12-30";"46408/09";"60/10";"2010-01-11";2009;12;"2009-12-01";9;NA;NA;17,013063;51,0684959
"3214";66;"";"2010-01-11";"Drobnera Boles≥awa 1";"rurociπgi kanalizac.sieci rozdzielczej";"przebudowa odcinka sieci kanalizacji i przy≥acze wodociagowe ";"przebudowa";"2009-11-23";"41238/09";"61/10";"2010-01-11";2009;11;"2009-11-01";36;NA;NA;17,0340738;51,1164379
"3215";67;"";"2010-01-11";"ZwyciÍska 2";"budowle sportowe i rekreacyjne pozosta≥e";"letnie  boksy dla koni";"nowe";"2009-12-17";"44807/09";"62/10";"2010-01-11";2009;12;"2009-12-01";18;NA;NA;16,9991755;51,0600087
"3216";68;"";"2010-01-12";"Pe≥czyÒska 103";"linie telekomunikacyjne dalek.zasiÍgu";"umarzam jako bezprzedmiotowe";"nowe";"2009-11-05";"39113/09";"6/10";"2010-01-12";2009;11;"2009-11-01";49;NA;NA;16,9959889;51,173054
"3217";69;"";"2010-01-12";"Opolska";"bud.o trzech i wiÍcej mieszkaniach";"umarzam jako bezprzedmiotowe";"nowe";"2009-12-03";"42775/09";"7/10";"2010-01-12";2009;12;"2009-12-01";29;NA;NA;17,089993;51,0720606
"3218";70;"";"2010-01-12";"Boles≥awa Krzywoustego 307";"linie elektroener.i telekom.rozdzielcz.";"linii kablowej nn oraz kabla nn do budynku mieszkalnego wielorodz";"nowe";"2009-12-11";"44088/09";"63/10";"2010-01-12";2009;12;"2009-12-01";23;NA;NA;17,1130713;51,1460038
"3219";71;"";"2010-01-12";"Podwale 28";"bud.biurowe";"remont elewacji i fos budynku";"przebudowa";"2009-12-17";"44813/09";"64/10";"2010-01-12";2009;12;"2009-12-01";19;NA;NA;17,0234375;51,1069431
"3220";72;"";"2010-01-12";"Strzegomski Plac";"";"reklama";"reklama";"2009-11-30";"42190/09";"65/10";"2010-01-12";2009;11;"2009-11-01";32;NA;NA;17,0059131;51,1128411
"3221";73;"";"2010-01-12";"GÛrecka 58";"bud.o dwÛch mieszkaniach";"wew.instalacja gazu";"inst.wewnÍtrzna";"2009-11-26";"41832/09";"66/10";"2010-01-12";2009;11;"2009-11-01";34;NA;NA;16,9043136;51,1586136
"3222";74;"";"2010-01-12";"Grecka 44";"bud.mieszkalne jednorodzinne";"rozbudowa i przebudowa budynku mieszkalnego jednorodzinnego";"przebudowa";"2009-11-10";"39745/09";"67/10";"2010-01-12";2009;11;"2009-11-01";46;NA;NA;16,9620779;51,107406
"3223";75;"";"2010-01-12";"Drobuta Jana 6";"bud.mieszkalne jednorodzinne";"rozbudowa istniejπcego budynku mieszkalnego jednorodzinnego ";"rozbudowa";"2009-11-25";"41687/09";"68/10";"2010-01-12";2009;11;"2009-11-01";35;NA;NA;17,1396512;51,1061831
"3224";76;"";"2010-01-12";"PiÍkna";"bud.o trzech i wiÍcej mieszkaniach";"przy≥πcza kablowego sn,stacji transformatorowej ";"przy≥πcze";"2009-12-11";"43958/09";"69/10";"2010-01-12";2009;12;"2009-12-01";23;NA;NA;17,0544352;51,0849709
"3225";77;"";"2010-01-12";"Jarno≥towska 58";"ulice i drogi pozosta≥e";"przebudowa dwÛch zjazdÛw";"przebudowa";"2009-12-23";"45691/09";"70/10";"2010-01-12";2009;12;"2009-12-01";15;NA;NA;16,85015;51,1196951
"3226";78;"";"2010-01-12";"Drobuta Jana 8";"bud.mieszkalne jednorodzinne";"rozbudowa budynku mieszkal.";"rozbudowa";"2009-11-25";"41688/09";"71/10";"2010-01-12";2009;11;"2009-11-01";35;NA;NA;17,1395815;51,1061798
"3227";79;"";"2010-01-12";"Legnicka";"";"budowa nosnika reklamowego";"reklama";"2009-11-30";"42191/09";"72/10";"2010-01-12";2009;11;"2009-11-01";32;NA;NA;16,9983948;51,1186225
"3228";80;"";"2010-01-12";"Fabryczna 10";"ulice i drogi pozosta≥e";"parkingu dla samochodÛw ciÍøarowych";"nowe";"2009-12-22";"45648/09";"73/10";"2010-01-12";2009;12;"2009-12-01";16;NA;NA;16,9913515;51,1118866
"3229";81;"";"2010-01-12";"Bierutowska 55";"bud.przemys≥owe";"remont pokrycia dachu hali produkcyjnej";"remont";"2009-11-20";"41147/09";"74/10";"2010-01-12";2009;11;"2009-11-01";38;NA;NA;17,1266965;51,1503296
"3230";82;"";"2010-01-12";"Zaporoska 30";"bud.o trzech i wiÍcej mieszkaniach";"zabudowa logii w lokalu mieszkalnym";"przebudowa";"2010-01-05";"200/10";"75/10";"2010-01-12";2010;1;"2010-01-01";6;NA;NA;17,0153596;51,0965864
"3231";83;"";"2010-01-12";"D≥uga";"linie elektroener.i telekom.rozdzielcz.";"maszt antenowy";"nowe";"2009-12-08";"43370/09";"76/10";"2010-01-12";2009;12;"2009-12-01";26;NA;NA;17,0127629;51,1216363
"3232";84;"";"2010-01-13";"Prusa Boles≥awa 11";"bud.o trzech i wiÍcej mieszkaniach";"przebudowu lokalu mieszkalnego w budynku wielorodzinnym";"inst.wewnÍtrzna";"2009-11-12";"39807/09";"4/10";"2010-01-13";2009;11;"2009-11-01";45;NA;NA;17,0480762;51,1196345
"3233";85;"";"2010-01-13";"Rozbrat 8-16";"";"remont wnÍtrza podwÛrkowego";"";"2009-03-05";"7702/09";"5/10";"2010-01-13";2009;3;"2009-03-01";225;NA;NA;17,0530696;51,1183338
"3234";86;"";"2010-01-13";"Cieszkowskiego Augusta 8";"bud.o trzech i wiÍcej mieszkaniach";"budynki wielorodzinne";"nowe";"2007-09-03";"32178/07";"6/10";"2010-01-13";2007;9;"2007-09-01";618;NA;NA;17,0766889;51,122552
"3235";87;"";"2010-01-13";"Nowowiejska 82";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkal.";"przebudowa";"2009-11-23";"41345/09";"77/10";"2010-01-13";2009;11;"2009-11-01";38;NA;NA;17,0574484;51,119568
"3236";88;"";"2010-01-13";"Zielona 36";"bud.mieszkalne jednorodzinne";"rozbudowa czÍúci budynku mieszkalnego jednorodz w zabudowie ";"rozbudowa";"2009-11-09";"39481/09";"78/10";"2010-01-13";2009;11;"2009-11-01";48;NA;NA;16,8881169;51,147047
"3237";89;"";"2010-01-13";"Olszewskiego Karola 128";"bud.handlowo-uslugowe";"przebudowa elewacji i docieplenie budynku us≥ugowego";"przebudowa";"2009-11-18";"40791/09";"79/10";"2010-01-13";2009;11;"2009-11-01";41;NA;NA;17,109995;51,1009147
"3238";90;"";"2010-01-13";"Mi≥oszycka 18C";"bud.mieszkalne jednorodzinne";"montaø wewn instacji gazowej w lokalu mieszkalnym";"inst.wewnÍtrzna";"2009-12-17";"44821/09";"80/10";"2010-01-13";2009;12;"2009-12-01";20;NA;NA;17,126745;51,11531
"3239";91;"";"2010-01-13";"Dolnobrzeska";"";"zarurowanie istniej.rowu melioracyjnego";"";"2009-11-27";"42060/09";"81/10";"2010-01-13";2009;11;"2009-11-01";34;NA;NA;16,8563942;51,1565238
"3240";92;"";"2010-01-13";"Sienkiewicza Henryka 93";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa na cele mieszkal.-us≥ug.lokalu w parterze bud.";"przebudowa";"2009-12-08";"43343/09";"82/10";"2010-01-13";2009;12;"2009-12-01";27;NA;NA;17,0613381;51,1156181
"3241";93;"";"2010-01-13";"PartyzantÛw 70/72";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa czÍúci poddasza w budynku mieszk-us≥ugowym";"przebudowa";"2009-11-16";"40235/09";"83/10";"2010-01-13";2009;11;"2009-11-01";43;NA;NA;17,104654;51,1099249
"3242";94;"";"2010-01-13";"Chudoby Stanis≥awa 14";"bud.o trzech i wiÍcej mieszkaniach";"remont i przebudowa 2 lokali socjalnych";"przebudowa";"2009-12-23";"45692/09";"84/10";"2010-01-13";2009;12;"2009-12-01";16;NA;NA;17,054297;51,0965716
"3243";95;"";"2010-01-13";"Miejska";"linie telekomunikacyjne dalek.zasiÍgu";"budowa stacji bazowej telefonii kom.";"nowe";"2008-06-30";"25497/08";"85/10";"2010-01-13";2008;6;"2008-06-01";403;NA;NA;17,1293568;51,137063
"3244";96;"";"2010-01-13";"Niepodleg≥oúci";"linie elektroener.i telekom.rozdzielcz.";"budowa stacji transformatorowej";"nowe";"2009-11-16";"40310/09";"86/10";"2010-01-13";2009;11;"2009-11-01";43;NA;NA;17,1240251;51,1632477
"3245";97;"";"2010-01-14";"Traugutta Romualda Gen. 71 ";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu";"przebudowa";"2009-11-17";"40398/09";"7/10";"2010-01-14";2009;11;"2009-11-01";43;NA;NA;17,0506151;51,1027523
"3246";98;"";"2010-01-14";"KsiÍcia Witolda";"bud.niemieszkalne pozosta≥e";"pawilon socjalny";"tymczasowe";"2009-12-18";"45029/09";"9/10";"2010-01-14";2009;12;"2009-12-01";20;NA;NA;17,0276526;51,114873
"3247";99;"";"2010-01-14";"£uøycka 22";"bud.garaøy";"umorzenie post.";"nowe";"2009-11-18";"40788/09";"9/10";"2010-01-14";2009;11;"2009-11-01";42;NA;NA;17,0184809;51,1378709
"3248";100;"";"2010-01-14";"Swojczycka 105";"bud.kultu religijnego i czynnoúci religijnych";"osrodek koúcielny";"nowe";"2009-12-03";"42968/09";"10/10";"2010-01-14";2009;12;"2009-12-01";31;NA;NA;17,1263846;51,1141127
"3249";101;"";"2010-01-14";"Obornicka 235";"linie telekomunikacyjne dalek.zasiÍgu";"stacji bazowej telefonii komÛrkowej umts wro 1139e wraz z wieøπ ";"nowe";"2009-11-12";"39899/09";"87/10";"2010-01-14";2009;11;"2009-11-01";46;NA;NA;17,0139252;51,1570755
"3250";102;"";"2010-01-14";"BÍdkowska 32";"bud.mieszkalne jednorodzinne";"budynek mieszkalny jednorodzinny wolno stojπcy z garaøem";"nowe";"2009-11-17";"40551/09";"88/10";"2010-01-14";2009;11;"2009-11-01";43;NA;NA;16,9078689;51,154357
"3251";103;"";"2010-01-14";"Lompy JÛzefa 15";"bud.o trzech i wiÍcej mieszkaniach";"rozbudowa wew.instal.gaz.w lokalu mieszkal.";"inst.wewnÍtrzna";"2009-12-11";"43982/09";"89/10";"2010-01-14";2009;12;"2009-12-01";25;NA;NA;17,0554204;51,1242514
"3252";104;"";"2010-01-14";"Nehringa W≥adys≥awa 1";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkal.w bud.mieszkal.wielorodz.";"przebudowa";"2009-12-16";"44628/09";"90/10";"2010-01-14";2009;12;"2009-12-01";22;NA;NA;17,0567573;51,111482
"3253";105;"";"2010-01-14";"JoannitÛw 20";"bud.o trzech i wiÍcej mieszkaniach";"montaz wew.instalacji c.o";"inst.wewnÍtrzna";"2009-12-16";"44681/09";"91/10";"2010-01-14";2009;12;"2009-12-01";22;NA;NA;17,036813;51,095054
"3254";106;"";"2010-01-14";"KiliÒskiego Jana 29";"bud.o trzech i wiÍcej mieszkaniach";"remont dachu wielorodzinnego";"przebudowa";"2009-12-22";"45474/09";"92/10";"2010-01-14";2009;12;"2009-12-01";18;NA;NA;17,0397243;51,1194571
"3255";107;"";"2010-01-14";"Miejska 16";"bud.mieszkalne jednorodzinne";"budowa wew.instal.gaz.w bud.mieszkal.";"inst.wewnÍtrzna";"2009-12-22";"45587/09";"93/10";"2010-01-14";2009;12;"2009-12-01";18;NA;NA;17,129338;51,136518
"3256";108;"";"2010-01-14";"Wincentego åw. 9";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa wewnÍtrznej instalacji gazowej w lokalu miesz";"inst.wewnÍtrzna";"2009-12-15";"44444/09";"94/10";"2010-01-14";2009;12;"2009-12-01";23;NA;NA;17,0324646;51,1221742
"3257";109;"";"2010-01-14";"SzczeciÒska 5";"ulice i drogi pozosta≥e";"parkingu z przy≥πczem kanalizacji deszczowej";"nowe";"2009-12-03";"42942/09";"95/10";"2010-01-14";2009;12;"2009-12-01";31;NA;NA;16,9367914;51,1252135
"3258";110;"";"2010-01-14";"Brodzka 171";"bud.o trzech i wiÍcej mieszkaniach";"montaøwewnÍtrznej instalacji gazu w lokalu mieszkalnym budynku ";"inst.wewnÍtrzna";"2009-12-03";"42834/09";"96/10";"2010-01-14";2009;12;"2009-12-01";31;NA;NA;16,908048;51,174929
"3259";111;"";"2010-01-14";"Sierakowskiego Zygmunta 14/16";"bud.o trzech i wiÍcej mieszkaniach";"wew.instalacja gazu";"inst.wewnÍtrzna";"2009-11-10";"39775/09";"97/10";"2010-01-14";2009;11;"2009-11-01";48;NA;NA;17,1051289;51,1089208
"3260";112;"";"2010-01-14";"Ruciana 20";"rurociπgi gazu sieci rozdzielczej";"odcinek gazociπgu";"nowe";"2009-12-08";"43347/09";"98/10";"2010-01-14";2009;12;"2009-12-01";28;NA;NA;17,1082919;51,170248
"3261";113;"";"2010-01-14";"Wojrowicka 29";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa lokalu mieszkalnego";"przebudowa";"2009-12-18";"45175/09";"99/10";"2010-01-14";2009;12;"2009-12-01";20;NA;NA;16,956719;51,11392
"3262";114;"";"2010-01-15";"Knignicka 5";"bud.mieszkalne jednorodzinne";"umarzam postÍpowanie administracyjne";"rozbudowa";"2009-11-18";"40806/09";"11/10";"2010-01-15";2009;11;"2009-11-01";43;NA;NA;16,9412649;51,1200179
"3263";115;"";"2010-01-15";"KiliÒskiego Jana 19";"bud.o trzech i wiÍcej mieszkaniach";"rozbudowa wew.instal.gaz.w mieszkaniu";"inst.wewnÍtrzna";"2009-12-07";"43316/09";"100/10";"2010-01-15";2009;12;"2009-12-01";30;NA;NA;17,0404787;51,1188103
"3264";116;"";"2010-01-15";"Majakowskiego W≥odzimierza 44";"bud.o trzech i wiÍcej mieszkaniach";"zadaszenie balkonu mieszkal.";"przebudowa";"2009-12-22";"45539/09";"101/10";"2010-01-15";2009;12;"2009-12-01";19;NA;NA;16,9476489;51,1265037
"3265";117;"";"2010-01-15";"Miechowska 11";"bud.o dwÛch mieszkaniach";"budynek mieszkalny jednorodzinny wolno stojπcy o dwu lokalach ";"nowe";"2009-12-17";"44920/09";"102/10";"2010-01-15";2009;12;"2009-12-01";22;NA;NA;16,893072;51,137768
"3266";118;"";"2010-01-15";"Oleúnicka 8";"bud.o trzech i wiÍcej mieszkaniach";"przebudowa wewnÍtrznej instalacji gazowej w lokalu ";"inst.wewnÍtrzna";"2009-12-28";"45923/09";"103/10";"2010-01-15";2009;12;"2009-12-01";15;NA;NA;17,0444435;51,1213495
"3267";119;"";"2010-01-15";"Niedüwiedzia 9";"bud.biurowe";"przebudowa budynku us≥ugowego";"przebudowa";"2009-11-13";"39999/09";"104/10";"2010-01-15";2009;11;"2009-11-01";46;NA;NA;16,995099;51,121911
"3268";120;"";"2010-01-15";"Wyúcigowa 35";"bud.hoteli";"przebudowa pomieszczeÒ w budynku";"przebudowa";"2009-12-02";"42625/09";"105/10";"2010-01-15";2009;12;"2009-12-01";33;NA;NA;17,0077375;51,0685604
"3269";121;"";"2010-01-15";"Mokronoska 2";"bud.hoteli";"budowa hotelu";"nowe";"2009-11-25";"41777/09";"106/10";"2010-01-15";2009;11;"2009-11-01";38;NA;NA;16,9559646;51,0782185
"3270";122;"";"2010-01-15";"Gersona Wojciecha 5A";"bud.garaøy";"przebudowa pomieszczenia w budynku magazynowo";"przebudowa";"2009-12-29";"46077/09";"107/10";"2010-01-15";2009;12;"2009-12-01";14;NA;NA;17,1121677;51,1015956
"3271";123;"";"2010-01-15";"Koúciuszki Tadeusza 29";"bud.biurowe";"przebudowa wewnÍtrznej instalacji gazu w budynku biurow";"inst.wewnÍtrzna";"2009-11-04";"38898/09";"108/10";"2010-01-15";2009;11;"2009-11-01";53;NA;NA;17,0322707;51,1024408
"3272";124;"";"2010-01-15";"Pi≥sudskiego JÛzefa Mar.";"linie elektroener.i telekom.rozdzielcz.";"sieÊ telekomunikacji";"nowe";"2009-11-27";"42025/09";"109/10";"2010-01-15";2009;11;"2009-11-01";36;NA;NA;17,0385376;51,1078852
"3273";125;"";"2010-01-18";"Gombrowicza Witolda 3";"bud.mieszkalne jednorodzinne";"przebudowa budynku jednorodzinnego w zabudowie szeregowej";"przebudowa";"2010-01-13";"939/10";"110/10";"2010-01-18";2010;1;"2010-01-01";4;NA;NA;16,948836;51,1047672
"3274";126;"";"2010-01-18";"Potokowa";"rurociπgi gazu sieci rozdzielczej";"budowa odcinka gazociagu n/c wraz z przy≥.gazu ";"nowe";"2009-12-02";"42553/09";"111/10";"2010-01-18";2009;12;"2009-12-01";34;NA;NA;16,940672;51,1596001
"3275";127;"";"2010-01-18";"Skoczylasa W≥adys≥awa 13-15";"bud.o trzech i wiÍcej mieszkaniach";"remont elewacji i przebudowa dachu w budynku wielorodz";"przebudowa";"2010-01-12";"832/10";"112/10";"2010-01-18";2010;1;"2010-01-01";5;NA;NA;16,870722;51,1436525
"3276";128;"";"2010-01-18";"Przystankowa 24";"bud.o trzech i wiÍcej mieszkaniach";"remont i przebudowa pomieszczeÒ gospodarczych ";"przebudowa";"2010-01-11";"769/10";"113/10";"2010-01-18";2010;1;"2010-01-01";6;NA;NA;17,037474;51,0692759
"3277";129;"";"2010-01-19";"PowstaÒcÛw ålπskich 127";"bud.biurowe";"umorzenie post.";"przebudowa";"2009-11-17";"40575/09";"12/10";"2010-01-19";2009;11;"2009-11-01";46;NA;NA;17,013858;51,0884669
"3278";130;"";"2010-01-19";"RÛøy WiatrÛw";"linie elektroener.i telekom.rozdzielcz.";"umorzenie post.";"nowe";"2010-01-06";"354/10";"13/10";"2010-01-19";2010;1;"2010-01-01";10;NA;NA;16,992051;51,0728131
